Marker_1,Marker_2,Marker_3,Marker_4,Marker_5,Marker_6,Marker_7,Marker_8,Marker_9,Marker_10,Disease_Likelihood
0.548813504,0.715189366,0.602763376,0.544883183,0.423654799,0.645894113,0.437587211,0.891773001,0.963662761,0.383441519,0.413962496
0.791725038,0.52889492,0.568044561,0.925596638,0.071036058,0.0871293,0.020218397,0.832619846,0.778156751,0.870012148,0.629618303
0.978618342,0.799158564,0.461479362,0.780529176,0.118274426,0.639921021,0.143353287,0.944668917,0.521848322,0.41466194,0.778584264
0.264555612,0.774233689,0.456150332,0.568433949,0.0187898,0.617635497,0.612095723,0.616933997,0.943748079,0.681820299,0.851557794
0.359507901,0.437031954,0.697631196,0.060225472,0.666766715,0.67063787,0.210382561,0.128926298,0.315428351,0.363710771,0.816412714
0.57019677,0.438601513,0.988373838,0.102044811,0.208876756,0.161309518,0.653108325,0.253291603,0.466310773,0.244425592,0.166077089
0.158969584,0.110375141,0.656329589,0.138182951,0.196582362,0.368725171,0.82099323,0.097101276,0.837944907,0.096098408,0.828389553
0.976459465,0.468651202,0.976761088,0.60484552,0.739263579,0.039187792,0.282806963,0.120196561,0.296140198,0.118727719,0.058629059
0.317983179,0.414262995,0.064147496,0.692472119,0.566601454,0.265389491,0.523248053,0.093940511,0.575946496,0.929296198,0.200170682
0.318568952,0.66741038,0.131797862,0.716327204,0.289406093,0.183191362,0.586512935,0.020107546,0.828940029,0.004695476,0.62292672
0.677816537,0.270007973,0.735194022,0.962188545,0.248753144,0.576157334,0.592041931,0.572251906,0.223081633,0.952749012,0.114692525
0.447125379,0.846408672,0.699479275,0.297436951,0.81379782,0.396505741,0.881103197,0.581272873,0.881735362,0.69253159,0.603347595
0.72525428,0.501324382,0.956083635,0.643990199,0.423855049,0.606393214,0.019193198,0.301574817,0.660173537,0.290077607,0.307965691
0.618015429,0.428768701,0.135474064,0.298282326,0.569964911,0.590872761,0.574325249,0.65320082,0.65210327,0.431418435,0.429466585
0.896546596,0.36756187,0.435864925,0.891923355,0.806193989,0.703888584,0.100226887,0.919482614,0.7142413,0.998847007,0.315151503
0.149448305,0.868126057,0.162492935,0.615559564,0.123819983,0.848008229,0.807318959,0.569100739,0.407183297,0.069166995,0.070173568
0.697428773,0.453542683,0.722055599,0.866382326,0.975521505,0.855803342,0.011714084,0.359978064,0.729990562,0.171629677,0.500758753
0.521036606,0.054337988,0.199996525,0.018521794,0.793697703,0.223924688,0.345351681,0.928081293,0.704414402,0.03183893,0.963599444
0.164694156,0.621478401,0.577228589,0.237892821,0.934213998,0.613965956,0.535632803,0.589909976,0.73012203,0.311944995,0.611783348
0.398221062,0.209843749,0.186193006,0.94437239,0.739550795,0.490458809,0.227414628,0.254356482,0.05802916,0.434416626,0.300031872
0.311795882,0.696343489,0.377751839,0.179603678,0.024678728,0.067249631,0.679392773,0.453696845,0.536579211,0.896671293,0.956149834
0.990338947,0.216896984,0.663078203,0.263322377,0.020650999,0.758378654,0.320017151,0.383463894,0.588317114,0.831048455,0.389237252
0.628981844,0.872650655,0.273542035,0.798046834,0.185635944,0.952791657,0.687488276,0.215507677,0.94737059,0.730855807,0.697517734
0.253941643,0.213311977,0.518200714,0.025662718,0.207470075,0.424685469,0.37416998,0.463575424,0.277628706,0.586784346,0.634112805
0.863855606,0.117531856,0.517379107,0.132068106,0.716859681,0.396059703,0.565421312,0.183279836,0.144847759,0.488056281,0.952910848
0.355612738,0.940431945,0.765325254,0.74866362,0.90371974,0.083422435,0.55219247,0.584476069,0.961936379,0.292147527,0.914602694
0.24082878,0.100293942,0.01642963,0.929529317,0.669916547,0.785152912,0.281730106,0.586410166,0.063955266,0.485627596,0.148004056
0.97749514,0.876505245,0.338158952,0.961570155,0.231701626,0.949318822,0.941377705,0.799202587,0.630447937,0.874287967,0.085685875
